Restaurant_Name,City,Cuisine,Cost_for_Two,Online_Delivery,Table_Booking,Rating,Votes,Review
Golden Spoon,Mumbai,Biryani,1864,Yes,Yes,4.0,473,"Highly recommended, great experience overall."
Street Feast,Bangalore,Chinese,1504,No,Yes,2.5,252,Decent place for casual dining.
Street Feast,Delhi,Biryani,1154,Yes,No,3.7,196,Average taste and normal service.
Food Palace,Hyderabad,Multi-cuisine,1541,Yes,No,2.5,174,Average taste and normal service.
Urban Bites,Pune,Italian,1570,No,Yes,2.6,409,"Food was okay, service was average."
Urban Bites,Delhi,Biryani,1144,No,No,2.5,131,It was an okay experience.
Food Palace,Pune,South Indian,1763,Yes,Yes,1.9,396,Food quality was disappointing.
Urban Bites,Delhi,Biryani,259,Yes,No,1.5,109,Very bad service and food was cold.
Spice Garden,Delhi,Fast Food,1553,Yes,No,2.5,283,"Food was okay, service was average."
Golden Spoon,Chennai,Chinese,1900,No,No,2.8,222,It was an okay experience.
Street Feast,Mumbai,North Indian,1071,No,No,2.5,117,It was an okay experience.
Curry House,Delhi,Multi-cuisine,511,Yes,Yes,3.3,199,It was an okay experience.
Flavour Hub,Mumbai,Desserts,1169,Yes,Yes,4.5,197,The food was amazing and service was excellent.
Happy Meals,Pune,Desserts,1491,Yes,Yes,4.5,248,Staff was friendly and food quality was top notch.
Golden Spoon,Mumbai,Chinese,630,No,No,3.6,355,It was an okay experience.
Street Feast,Delhi,Multi-cuisine,383,No,Yes,2.9,256,Decent place for casual dining.
Urban Bites,Bangalore,Multi-cuisine,1181,Yes,No,3.3,182,It was an okay experience.
Curry House,Pune,Chinese,1162,Yes,Yes,3.2,262,Nothing special but not bad either.
Happy Meals,Delhi,Italian,1634,Yes,No,4.6,477,Staff was friendly and food quality was top notch.
Royal Dine,Mumbai,North Indian,908,No,Yes,4.6,333,Loved the ambience and the taste was fantastic.
Tasty Treats,Chennai,Biryani,681,Yes,No,3.0,80,It was an okay experience.
Curry House,Mumbai,Biryani,1903,Yes,No,1.7,324,Very bad service and food was cold.
Tasty Treats,Hyderabad,Fast Food,502,Yes,Yes,3.5,70,Decent place for casual dining.
Spice Garden,Mumbai,Chinese,475,Yes,No,4.2,198,"Highly recommended, great experience overall."
Spice Garden,Mumbai,North Indian,1203,Yes,Yes,3.3,243,Average taste and normal service.
Food Palace,Delhi,Biryani,322,No,Yes,3.3,493,It was an okay experience.
Street Feast,Hyderabad,South Indian,1555,No,Yes,3.0,469,Nothing special but not bad either.
Street Feast,Chennai,Italian,1765,Yes,Yes,1.5,152,Very bad service and food was cold.
Food Palace,Pune,North Indian,412,No,Yes,4.2,231,The food was amazing and service was excellent.
Food Palace,Delhi,South Indian,1468,Yes,Yes,3.8,323,Decent place for casual dining.
Spice Garden,Hyderabad,Biryani,845,No,No,3.7,242,It was an okay experience.
Tasty Treats,Delhi,Desserts,1599,Yes,No,2.9,113,Nothing special but not bad either.
Street Feast,Hyderabad,Biryani,700,Yes,Yes,2.1,484,Staff was rude and slow.
Tasty Treats,Bangalore,Chinese,628,Yes,No,3.1,135,Decent place for casual dining.
Flavour Hub,Hyderabad,South Indian,1305,Yes,Yes,1.9,171,Staff was rude and slow.
Curry House,Chennai,Biryani,1258,Yes,Yes,3.5,436,Nothing special but not bad either.
Happy Meals,Delhi,Chinese,1423,Yes,Yes,1.5,232,Staff was rude and slow.
Happy Meals,Pune,Desserts,1276,No,Yes,2.8,435,Average taste and normal service.
Urban Bites,Delhi,Desserts,1960,No,No,3.2,17,"Food was okay, service was average."
Curry House,Pune,Biryani,1138,Yes,No,3.8,430,Average taste and normal service.
Food Palace,Hyderabad,Multi-cuisine,1665,No,No,2.7,423,Average taste and normal service.
Curry House,Mumbai,Desserts,1695,Yes,No,3.7,448,"Food was okay, service was average."
Spice Garden,Delhi,Italian,1706,No,No,4.6,450,The food was amazing and service was excellent.
Tasty Treats,Hyderabad,South Indian,828,Yes,No,1.6,147,Food quality was disappointing.
Urban Bites,Hyderabad,Italian,525,No,Yes,2.6,432,"Food was okay, service was average."
Urban Bites,Pune,Chinese,572,Yes,No,4.9,469,"Worth the money, will visit again."
Urban Bites,Bangalore,Chinese,455,Yes,No,4.5,19,The food was amazing and service was excellent.
Food Palace,Bangalore,Desserts,903,No,Yes,3.5,356,It was an okay experience.
Urban Bites,Chennai,Italian,881,No,No,4.4,419,Staff was friendly and food quality was top notch.
Golden Spoon,Delhi,South Indian,1192,No,Yes,2.7,284,"Food was okay, service was average."
Curry House,Chennai,Multi-cuisine,363,No,Yes,2.6,75,Average taste and normal service.
Royal Dine,Mumbai,Biryani,1298,Yes,Yes,1.8,404,Food quality was disappointing.
Golden Spoon,Bangalore,Desserts,966,No,Yes,3.0,18,It was an okay experience.
Curry House,Pune,Fast Food,1919,Yes,Yes,3.1,35,"Food was okay, service was average."
Urban Bites,Chennai,Chinese,268,No,No,2.3,436,Food quality was disappointing.
Curry House,Chennai,Biryani,349,No,Yes,4.7,176,The food was amazing and service was excellent.
Urban Bites,Pune,Desserts,1273,Yes,Yes,3.1,316,Nothing special but not bad either.
Urban Bites,Bangalore,North Indian,222,No,No,1.7,76,Food quality was disappointing.
Flavour Hub,Delhi,Biryani,556,Yes,Yes,4.0,254,Loved the ambience and the taste was fantastic.
Street Feast,Delhi,Italian,1465,Yes,Yes,3.3,366,It was an okay experience.
Flavour Hub,Chennai,Desserts,1428,No,No,1.6,472,Not worth the price at all.
Golden Spoon,Bangalore,Fast Food,927,Yes,Yes,3.8,496,"Food was okay, service was average."
Street Feast,Bangalore,Biryani,1185,Yes,Yes,2.0,81,Not worth the price at all.
Flavour Hub,Bangalore,Italian,1251,Yes,Yes,2.1,438,Staff was rude and slow.
Golden Spoon,Mumbai,Italian,687,No,Yes,1.7,250,Staff was rude and slow.
Curry House,Mumbai,North Indian,228,No,No,3.7,46,Average taste and normal service.
Tasty Treats,Bangalore,Biryani,1427,Yes,No,2.5,411,Average taste and normal service.
Royal Dine,Mumbai,North Indian,522,No,No,2.4,75,"Terrible experience, will not come again."
Golden Spoon,Mumbai,Desserts,1295,No,No,4.8,153,"Highly recommended, great experience overall."
Tasty Treats,Delhi,Italian,1837,Yes,No,3.2,437,It was an okay experience.
Street Feast,Mumbai,North Indian,721,No,No,2.6,250,Average taste and normal service.
Tasty Treats,Pune,Chinese,1527,No,No,2.1,62,Staff was rude and slow.
Royal Dine,Pune,South Indian,1371,No,Yes,4.0,146,"Worth the money, will visit again."
Street Feast,Chennai,South Indian,833,Yes,Yes,1.6,197,Very bad service and food was cold.
Flavour Hub,Pune,Italian,343,Yes,No,5.0,90,The food was amazing and service was excellent.
Street Feast,Delhi,Desserts,871,No,Yes,4.8,311,"Worth the money, will visit again."
Happy Meals,Bangalore,Multi-cuisine,1132,Yes,No,1.7,464,Very bad service and food was cold.
Spice Garden,Pune,Biryani,387,Yes,No,4.0,238,The food was amazing and service was excellent.
Happy Meals,Bangalore,South Indian,288,Yes,No,4.9,288,Loved the ambience and the taste was fantastic.
Flavour Hub,Bangalore,Italian,1122,Yes,Yes,2.1,485,Very bad service and food was cold.
Golden Spoon,Mumbai,Desserts,937,No,No,2.6,468,"Food was okay, service was average."
Happy Meals,Chennai,Desserts,1484,No,No,2.5,194,"Food was okay, service was average."
Happy Meals,Delhi,Chinese,1956,Yes,Yes,1.7,201,Staff was rude and slow.
Tasty Treats,Delhi,Multi-cuisine,983,Yes,Yes,1.9,16,Food quality was disappointing.
Food Palace,Pune,Fast Food,1294,No,Yes,1.7,261,"Terrible experience, will not come again."
Royal Dine,Hyderabad,Italian,742,No,Yes,2.6,386,"Food was okay, service was average."
Golden Spoon,Hyderabad,Chinese,1182,Yes,No,4.3,394,The food was amazing and service was excellent.
Curry House,Mumbai,Biryani,773,No,Yes,2.3,15,"Terrible experience, will not come again."
Tasty Treats,Hyderabad,Desserts,1186,No,Yes,4.1,328,Loved the ambience and the taste was fantastic.
Happy Meals,Pune,South Indian,1280,No,Yes,4.4,100,"Highly recommended, great experience overall."
Happy Meals,Delhi,Biryani,1153,No,No,1.6,452,Not worth the price at all.
Golden Spoon,Bangalore,Italian,331,Yes,No,2.0,97,"Terrible experience, will not come again."
Royal Dine,Bangalore,Fast Food,679,Yes,Yes,4.0,187,Staff was friendly and food quality was top notch.
Urban Bites,Delhi,Multi-cuisine,760,Yes,Yes,4.0,213,Staff was friendly and food quality was top notch.
Street Feast,Pune,Biryani,1419,No,No,2.1,335,Food quality was disappointing.
Flavour Hub,Hyderabad,Biryani,874,No,No,3.4,56,Decent place for casual dining.
Tasty Treats,Mumbai,South Indian,1989,Yes,No,2.3,468,"Terrible experience, will not come again."
Tasty Treats,Delhi,Biryani,1383,Yes,No,2.9,43,Average taste and normal service.
Urban Bites,Delhi,Biryani,947,Yes,No,3.2,442,It was an okay experience.
Flavour Hub,Bangalore,Fast Food,1621,Yes,No,4.9,123,Staff was friendly and food quality was top notch.
Curry House,Hyderabad,Biryani,366,Yes,Yes,3.4,101,Average taste and normal service.
Happy Meals,Mumbai,Desserts,1906,No,No,3.1,489,It was an okay experience.
Curry House,Delhi,Desserts,1023,No,No,3.6,127,Average taste and normal service.
Happy Meals,Mumbai,Italian,930,No,Yes,4.2,440,"Highly recommended, great experience overall."
Curry House,Delhi,Desserts,292,Yes,No,3.4,66,Decent place for casual dining.
Curry House,Bangalore,Multi-cuisine,405,No,Yes,3.5,123,Decent place for casual dining.
Golden Spoon,Chennai,North Indian,1688,Yes,Yes,3.1,263,It was an okay experience.
Tasty Treats,Hyderabad,Italian,275,No,No,2.8,404,Nothing special but not bad either.
Curry House,Chennai,Chinese,1251,No,No,1.8,38,Food quality was disappointing.
Happy Meals,Hyderabad,Biryani,1822,No,No,3.3,155,Nothing special but not bad either.
Golden Spoon,Chennai,Multi-cuisine,212,No,Yes,4.0,53,Staff was friendly and food quality was top notch.
Curry House,Mumbai,Desserts,1264,No,No,3.7,204,Average taste and normal service.
Golden Spoon,Delhi,Italian,1862,No,Yes,3.9,229,It was an okay experience.
Happy Meals,Pune,North Indian,1241,Yes,No,1.5,265,Food quality was disappointing.
Spice Garden,Bangalore,Biryani,1233,Yes,No,4.1,398,The food was amazing and service was excellent.
Urban Bites,Chennai,Multi-cuisine,727,Yes,No,1.5,219,Not worth the price at all.
Food Palace,Pune,South Indian,1937,Yes,Yes,4.7,118,Loved the ambience and the taste was fantastic.
Spice Garden,Chennai,Italian,862,Yes,No,1.7,421,Very bad service and food was cold.
Tasty Treats,Chennai,Biryani,337,No,Yes,4.4,40,"Highly recommended, great experience overall."
Golden Spoon,Chennai,Biryani,326,Yes,Yes,2.6,160,Average taste and normal service.
Street Feast,Bangalore,Fast Food,1635,No,Yes,2.5,443,Nothing special but not bad either.
Tasty Treats,Delhi,North Indian,564,No,No,3.4,223,Average taste and normal service.
Flavour Hub,Chennai,Fast Food,1582,No,No,1.7,433,Not worth the price at all.
Curry House,Hyderabad,Fast Food,1970,Yes,Yes,1.7,308,Very bad service and food was cold.
Urban Bites,Delhi,South Indian,1896,No,No,1.9,157,Very bad service and food was cold.
Spice Garden,Chennai,Italian,1648,Yes,No,2.8,34,Decent place for casual dining.
Street Feast,Hyderabad,Chinese,1527,Yes,No,2.3,22,Very bad service and food was cold.
Spice Garden,Hyderabad,Multi-cuisine,1479,Yes,No,2.4,466,Very bad service and food was cold.
Curry House,Pune,Fast Food,394,No,No,4.1,230,Loved the ambience and the taste was fantastic.
Tasty Treats,Mumbai,Multi-cuisine,506,Yes,No,4.9,168,Loved the ambience and the taste was fantastic.
Royal Dine,Pune,South Indian,1123,No,Yes,1.8,43,"Terrible experience, will not come again."
Street Feast,Bangalore,South Indian,1476,No,Yes,4.8,116,"Highly recommended, great experience overall."
Curry House,Hyderabad,Multi-cuisine,910,No,No,2.8,482,Decent place for casual dining.
Food Palace,Chennai,South Indian,655,Yes,Yes,2.9,195,Nothing special but not bad either.
Golden Spoon,Hyderabad,Italian,1366,No,Yes,4.3,13,Loved the ambience and the taste was fantastic.
Food Palace,Mumbai,Biryani,1882,No,No,2.8,72,"Food was okay, service was average."
Royal Dine,Mumbai,Chinese,1378,Yes,Yes,3.0,64,Decent place for casual dining.
Urban Bites,Hyderabad,Desserts,1303,No,Yes,4.0,280,Staff was friendly and food quality was top notch.
Golden Spoon,Bangalore,South Indian,1604,No,Yes,1.9,130,Not worth the price at all.
Spice Garden,Bangalore,Desserts,515,Yes,Yes,3.8,116,Decent place for casual dining.
Golden Spoon,Bangalore,North Indian,1684,No,Yes,3.8,85,Average taste and normal service.
Royal Dine,Chennai,Italian,449,Yes,No,3.9,346,It was an okay experience.
Food Palace,Hyderabad,South Indian,931,Yes,No,3.1,424,"Food was okay, service was average."
Happy Meals,Pune,South Indian,750,No,No,3.1,180,Average taste and normal service.
Tasty Treats,Hyderabad,South Indian,727,Yes,Yes,3.0,399,Average taste and normal service.
Urban Bites,Mumbai,Desserts,1374,No,Yes,3.1,180,It was an okay experience.
Curry House,Bangalore,Italian,1340,No,Yes,4.1,18,Staff was friendly and food quality was top notch.
Street Feast,Mumbai,Multi-cuisine,1317,Yes,No,3.0,203,It was an okay experience.
Street Feast,Mumbai,Biryani,1750,No,Yes,2.5,188,Decent place for casual dining.
Royal Dine,Bangalore,South Indian,1870,No,No,3.1,494,Nothing special but not bad either.
Urban Bites,Pune,Italian,1186,Yes,Yes,3.5,444,"Food was okay, service was average."
Curry House,Pune,Italian,1338,Yes,Yes,3.3,76,It was an okay experience.
Food Palace,Bangalore,Fast Food,402,Yes,Yes,2.4,357,Staff was rude and slow.
Happy Meals,Mumbai,North Indian,1718,Yes,Yes,3.7,288,"Food was okay, service was average."
Spice Garden,Bangalore,Desserts,1786,No,No,5.0,163,Loved the ambience and the taste was fantastic.
Urban Bites,Mumbai,Biryani,908,Yes,No,3.0,215,Nothing special but not bad either.
Golden Spoon,Pune,Italian,821,Yes,Yes,4.5,406,Staff was friendly and food quality was top notch.
Tasty Treats,Hyderabad,North Indian,1767,No,Yes,3.0,85,Decent place for casual dining.
Royal Dine,Mumbai,Chinese,550,No,No,3.7,41,It was an okay experience.
Flavour Hub,Hyderabad,Fast Food,1436,No,No,3.8,429,Nothing special but not bad either.
Curry House,Mumbai,Fast Food,1495,Yes,No,1.7,10,Staff was rude and slow.
Curry House,Bangalore,North Indian,1876,No,No,2.9,50,Nothing special but not bad either.
Urban Bites,Delhi,Italian,1954,No,Yes,2.4,310,"Terrible experience, will not come again."
Curry House,Bangalore,Fast Food,1392,No,Yes,4.1,78,Staff was friendly and food quality was top notch.
Golden Spoon,Delhi,Italian,1470,Yes,No,2.8,171,It was an okay experience.
Spice Garden,Delhi,South Indian,1880,Yes,Yes,1.5,144,Food quality was disappointing.
Happy Meals,Bangalore,North Indian,534,Yes,No,3.8,430,Decent place for casual dining.
Street Feast,Hyderabad,South Indian,282,No,No,3.6,239,Average taste and normal service.
Happy Meals,Pune,Biryani,1310,No,Yes,3.6,418,Decent place for casual dining.
Tasty Treats,Pune,Chinese,1464,No,Yes,3.6,376,"Food was okay, service was average."
Food Palace,Delhi,Desserts,630,Yes,Yes,3.3,415,Average taste and normal service.
Happy Meals,Hyderabad,Fast Food,1229,Yes,No,4.3,99,The food was amazing and service was excellent.
Flavour Hub,Bangalore,Chinese,1026,No,No,1.7,107,Not worth the price at all.
Curry House,Mumbai,Chinese,699,No,No,2.8,350,Average taste and normal service.
Happy Meals,Bangalore,Multi-cuisine,1213,Yes,No,3.5,73,Nothing special but not bad either.
Street Feast,Hyderabad,Desserts,1113,Yes,No,3.8,348,Decent place for casual dining.
Curry House,Delhi,Fast Food,673,No,Yes,2.2,338,Not worth the price at all.
Golden Spoon,Delhi,South Indian,1383,No,Yes,4.3,394,Staff was friendly and food quality was top notch.
Food Palace,Chennai,Biryani,1926,Yes,Yes,4.4,54,"Worth the money, will visit again."
Spice Garden,Bangalore,North Indian,1105,Yes,Yes,1.5,263,Not worth the price at all.
Food Palace,Mumbai,Biryani,1314,Yes,Yes,2.7,322,It was an okay experience.
Food Palace,Chennai,Fast Food,1151,No,Yes,4.6,107,Staff was friendly and food quality was top notch.
Tasty Treats,Hyderabad,Desserts,1273,No,Yes,2.1,228,Not worth the price at all.
Happy Meals,Delhi,Italian,1514,Yes,No,4.4,202,Loved the ambience and the taste was fantastic.
Spice Garden,Bangalore,Multi-cuisine,905,Yes,No,3.0,381,"Food was okay, service was average."
Golden Spoon,Bangalore,North Indian,1594,No,Yes,3.2,86,Decent place for casual dining.
Spice Garden,Mumbai,Fast Food,551,Yes,No,4.7,322,Staff was friendly and food quality was top notch.
Curry House,Chennai,Chinese,454,No,No,2.6,433,"Food was okay, service was average."
Urban Bites,Hyderabad,Italian,815,No,No,2.0,11,Very bad service and food was cold.
Happy Meals,Delhi,North Indian,309,Yes,No,4.8,197,Staff was friendly and food quality was top notch.
Curry House,Bangalore,Italian,1976,No,No,4.1,417,"Highly recommended, great experience overall."
Street Feast,Mumbai,Multi-cuisine,220,Yes,Yes,2.2,223,Food quality was disappointing.
Flavour Hub,Chennai,Biryani,1225,Yes,No,2.7,357,"Food was okay, service was average."
Curry House,Chennai,Chinese,1456,No,Yes,2.6,106,It was an okay experience.
Happy Meals,Chennai,Fast Food,939,No,Yes,4.0,483,The food was amazing and service was excellent.
Urban Bites,Chennai,Desserts,1354,Yes,Yes,4.9,65,Loved the ambience and the taste was fantastic.
Tasty Treats,Hyderabad,Desserts,1532,No,Yes,4.8,99,Staff was friendly and food quality was top notch.
Happy Meals,Mumbai,Biryani,1258,Yes,Yes,2.4,471,Food quality was disappointing.
Urban Bites,Mumbai,Multi-cuisine,436,Yes,Yes,3.3,26,"Food was okay, service was average."
Happy Meals,Bangalore,Fast Food,936,Yes,No,3.8,329,Decent place for casual dining.
Golden Spoon,Hyderabad,Biryani,1970,Yes,Yes,2.3,50,"Terrible experience, will not come again."
Spice Garden,Delhi,Chinese,797,Yes,Yes,2.7,209,Average taste and normal service.
Tasty Treats,Bangalore,Desserts,971,No,Yes,5.0,278,Staff was friendly and food quality was top notch.
Curry House,Chennai,Italian,1112,No,No,3.9,358,Decent place for casual dining.
Food Palace,Chennai,Biryani,218,No,Yes,1.5,99,"Terrible experience, will not come again."
Food Palace,Bangalore,Multi-cuisine,1019,No,Yes,2.8,485,Nothing special but not bad either.
Street Feast,Mumbai,Multi-cuisine,1684,No,Yes,2.9,336,Decent place for casual dining.
Royal Dine,Chennai,Fast Food,1962,No,Yes,2.0,142,"Terrible experience, will not come again."
Street Feast,Pune,Multi-cuisine,1381,Yes,Yes,3.0,310,Nothing special but not bad either.
Royal Dine,Delhi,Fast Food,1729,Yes,Yes,3.1,104,Decent place for casual dining.
Spice Garden,Pune,Italian,991,No,No,3.7,495,Decent place for casual dining.
Happy Meals,Chennai,North Indian,1987,No,No,3.3,465,Decent place for casual dining.
Golden Spoon,Chennai,Chinese,663,Yes,No,4.2,169,Loved the ambience and the taste was fantastic.
Urban Bites,Bangalore,Fast Food,263,Yes,No,4.8,54,The food was amazing and service was excellent.
Flavour Hub,Bangalore,Fast Food,933,Yes,Yes,1.7,20,Not worth the price at all.
Royal Dine,Chennai,Fast Food,1514,Yes,No,2.3,330,"Terrible experience, will not come again."
Street Feast,Chennai,North Indian,779,No,No,2.5,88,"Food was okay, service was average."
Royal Dine,Delhi,Biryani,459,No,No,5.0,394,Staff was friendly and food quality was top notch.
Golden Spoon,Delhi,Fast Food,796,Yes,No,4.4,74,The food was amazing and service was excellent.
Urban Bites,Mumbai,Italian,795,Yes,No,4.1,202,Staff was friendly and food quality was top notch.
Spice Garden,Pune,Italian,820,No,Yes,2.9,67,Nothing special but not bad either.
Urban Bites,Delhi,South Indian,1914,Yes,No,2.4,407,Not worth the price at all.
Happy Meals,Bangalore,South Indian,1053,Yes,No,3.9,72,"Food was okay, service was average."
Street Feast,Pune,Italian,980,Yes,Yes,4.0,189,"Worth the money, will visit again."
Curry House,Pune,North Indian,1124,Yes,Yes,4.6,295,Loved the ambience and the taste was fantastic.
Food Palace,Pune,Desserts,1085,No,Yes,1.9,249,Very bad service and food was cold.
Street Feast,Delhi,Multi-cuisine,1601,No,Yes,1.6,342,Very bad service and food was cold.
Spice Garden,Hyderabad,Italian,417,Yes,Yes,3.2,315,"Food was okay, service was average."
Street Feast,Hyderabad,Italian,1629,No,No,2.3,288,Very bad service and food was cold.
Urban Bites,Pune,South Indian,223,Yes,Yes,2.9,163,Average taste and normal service.
Golden Spoon,Pune,North Indian,988,No,No,3.9,258,Nothing special but not bad either.
Happy Meals,Hyderabad,Fast Food,1846,Yes,Yes,2.9,17,Decent place for casual dining.
Royal Dine,Pune,Fast Food,1763,Yes,Yes,2.9,11,Decent place for casual dining.
Tasty Treats,Chennai,Biryani,310,Yes,No,3.4,153,Decent place for casual dining.
Flavour Hub,Pune,South Indian,1202,Yes,No,2.7,192,"Food was okay, service was average."
Street Feast,Chennai,Desserts,621,Yes,Yes,2.1,321,Not worth the price at all.
Food Palace,Pune,Italian,1361,No,Yes,2.7,491,Decent place for casual dining.
Curry House,Chennai,Biryani,817,Yes,No,3.5,274,Nothing special but not bad either.
Royal Dine,Bangalore,Fast Food,1092,Yes,Yes,3.4,279,Decent place for casual dining.
Flavour Hub,Chennai,South Indian,1287,No,Yes,2.1,379,Staff was rude and slow.
Royal Dine,Delhi,Biryani,1222,No,No,2.4,138,Food quality was disappointing.
Tasty Treats,Pune,North Indian,1364,No,Yes,4.8,126,"Highly recommended, great experience overall."
Spice Garden,Hyderabad,Desserts,339,No,Yes,3.9,381,Average taste and normal service.
Royal Dine,Hyderabad,Chinese,1430,Yes,No,4.2,196,Loved the ambience and the taste was fantastic.
Street Feast,Delhi,Italian,772,No,Yes,3.5,369,Nothing special but not bad either.
Spice Garden,Bangalore,Biryani,667,No,Yes,3.7,404,Decent place for casual dining.
Royal Dine,Delhi,North Indian,1900,No,No,4.6,76,"Highly recommended, great experience overall."
Flavour Hub,Hyderabad,Multi-cuisine,1276,No,Yes,3.0,343,Average taste and normal service.
Flavour Hub,Hyderabad,Chinese,1047,No,No,4.9,155,"Worth the money, will visit again."
Flavour Hub,Hyderabad,South Indian,1863,No,No,2.3,390,Food quality was disappointing.
Food Palace,Delhi,North Indian,1500,Yes,Yes,2.8,362,Decent place for casual dining.
Happy Meals,Bangalore,Chinese,870,Yes,No,3.6,108,"Food was okay, service was average."
Spice Garden,Hyderabad,Fast Food,1790,Yes,No,3.4,387,It was an okay experience.
Royal Dine,Chennai,Desserts,804,No,Yes,3.3,274,Decent place for casual dining.
Curry House,Delhi,Biryani,1334,No,Yes,2.9,37,Decent place for casual dining.
Street Feast,Pune,South Indian,1796,No,Yes,1.8,315,Not worth the price at all.
Happy Meals,Hyderabad,Italian,899,No,Yes,4.5,285,"Highly recommended, great experience overall."
